,hnmr,graph,file,smiles
2399,020096905.csv,020096905.pickle,020096905,C1(=C(C(=C2C(=C(C(=C(C2=C1[H])[H])C(O[H])=O)O[H])[H])[H])[H])[H]
2400,020052510.csv,020052510.pickle,020052510,C=1(N(C(=C(C1[S+](C([H])([H])[H])C([H])([H])[H])[H])[H])[H])[H]
2401,020097169.csv,020097169.pickle,020097169,C1(=C(C(=C(C(=C1[H])[H])C(C=2C(=C(N=C(C2[H])[H])[H])[H])=O)[H])[H])[H]
2402,000074171.csv,000074171.pickle,000074171,C1(=C(C(=C(C(=C1C#N)[H])[H])[H])C#N)[H]
2403,010010844.csv,010010844.pickle,010010844,C(C(=C(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])([H])([H])[H]
2404,010026237.csv,010026237.pickle,010026237,C1(=C(C(=C(C(=C1[H])C(OC(C(=C(C(=C(C2=C(C(=C(C(=C2[H])[H])[H])[H])[H])[H])[H])[H])[H])=O)([H])[H])[H])[H])O[H])O[H]
2408,000074247.csv,000074247.pickle,000074247,C=1(OC(=C(C(N1)(C(=O)OC([H])([H])[H])[H])[H])C([Si](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H])OC([H])([H])[H]
2409,020091372.csv,020091372.pickle,020091372,C1(C(C(C(C2(C1(C(C(C3(C2(C(C(=C4C3(C(C(C5(C4(C(C(C(C5([H])[H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H])[H])C(O[H])=O)([H])[H])([H])[H])C([H])([H])[H])[H])=O)[H])C([H])([H])[H])([H])[H])([H])[H])[H])C([H])([H])[H])([H])[H])([H])[H])(O[H])[H])(C([H])([H])[H])C([H])([H])[H]
2413,000020126.csv,000020126.pickle,000020126,C1(C(C(C2(C1(C(C(=O)C3(C2(C(C(C=4C3(C([H])([H])[H])C(=C(C(C4[H])=O)[H])[H])([H])[H])([H])[H])[H])[H])([H])[H])C([H])([H])[H])[H])([H])[H])([H])[H])(C(=O)C(O[H])([H])[H])O[H]
2415,020176721.csv,020176721.pickle,020176721,O1C2=C(C(=C(C1=O)[H])[H])C(=C(C(=C2[H])OC([H])([H])[H])C(=O)C(C(C([H])([H])[H])([H])[H])([H])[H])[H]
2418,010027566.csv,010027566.pickle,010027566,C12(C(C(C(C(C1(C([H])([H])[H])C([H])([H])[H])(C(C(=C(C(C(C(=C(C(C2([H])[H])([H])[H])C([H])([H])[H])[H])([H])[H])([H])[H])C([H])([H])[H])[H])([H])[H])[H])([H])[H])([H])[H])=C([H])[H])[H]
2426,020000582.csv,020000582.pickle,020000582,C=1(C(=C(C(=C(C1[H])[H])C#CC=2C(=C(C(=C(C2[H])[H])C#CC=3C(=C(C(=C(C3[H])[H])C#N)[H])[H])[H])[H])[H])[H])OC([H])([H])[H]
2429,010021764.csv,010021764.pickle,010021764,C1(=C(C(=C(C(=C1[H])[H])C(=O)OC2=C(C(=C(C(=C2[H])[H])OC(C3=C(C(=C(C(=C3[H])[H])[H])[H])[H])([H])[H])[H])[H])[H])[H])OC(C(C(C(C(C(C(C(C(C(=C([H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H]
2439,000010172.csv,000010172.pickle,000010172,C=1(C(=C(C(=C2C1SC3=C(O2)C(=C(C(=C3[H])[H])[H])[H])[H])[H])[H])[H]
2444,020097226.csv,020097226.pickle,020097226,C1(=C(C(=C(C(=C1[H])[H])C(N(C2=C(C(=C(C(=C2[H])[H])[H])[H])[H])C(C3=C(C(=C(C(=C3[H])[H])[H])[H])[H])([H])[H])([H])[H])[H])[H])[H]
2448,020173201.csv,020173201.pickle,020173201,N12C(C(=C(C(=C1[H])[H])C(C([H])([H])[H])(C([H])([H])[H])[H])[H])=C3C(C(C(C(C(C(C3=C2C(=O)OC([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H]
2451,020111994.csv,020111994.pickle,020111994,S([O-])(=O)(=O)C(C(N1C(C(OC(C1([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H]
2452,010023971.csv,010023971.pickle,010023971,C=1(C(=C(C(=C(C1[H])[H])[H])[H])[H])S(C2=C(C(=C(C(=C2[H])[H])[H])[N+](=O)[O-])[H])(=O)=O
2455,010015650.csv,010015650.pickle,010015650,C1(=C(C(=C(C(=C1[H])C(C#N)(N(C(C=2C(=C(C(=C(C2[H])[H])OC([H])([H])[H])[H])[H])([H])[H])[H])[H])[H])[H])[H])[H]
2457,010014121.csv,010014121.pickle,010014121,C=1(C(=C2C(=C(C1[H])O[H])C3=C(C(=C(C(=C3[H])[H])[N+]([O-])=O)[H])C2=O)[H])[H]
2459,010021771.csv,010021771.pickle,010021771,C=1(SN=NC1C2=C(C(=C(C(=C2[H])[H])OC([H])([H])[H])[H])[H])C(Cl)(C3=C(N=NS3)C4=C(C(=C(C(=C4[H])[H])OC([H])([H])[H])[H])[H])[H]
2471,020111941.csv,020111941.pickle,020111941,O(C(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])C1=C(C(=C(OC(=O)C=2C(=C(C(C3=C(C(=C(C(C(C(C([H])([H])[H])([H])[H])(C([H])([H])[H])[H])([H])[H])C(=C3[H])[H])[H])[H])=C(C2[H])[H])[H])[H])C(=C1[H])[H])[H])[H]
2474,020027693.csv,020027693.pickle,020027693,C=1(C(=C(C(=C(C1[H])[H])N([H])[H])[H])Br)[H]
2476,000010254.csv,000010254.pickle,000010254,C=1(C(=C(C(=C2C1C(C3=C(O2)C(=C(C(=C3[H])[H])[H])[H])([H])[H])[H])[H])[H])[H]
2486,010021658.csv,010021658.pickle,010021658,C1(=O)OC(C2=C1C=3C(C(C(C2([H])[H])([H])[H])([H])[H])=C(C(=C(C3[H])[H])[H])[H])([H])[H]
2489,020052960.csv,020052960.pickle,020052960,C(OC(=O)Cl)([H])([H])[H]
2490,020167819.csv,020167819.pickle,020167819,C1(=C(C2=C(C(=C(C(=C(C(=C1[H])[H])C2([H])[H])[H])[H])[H])[H])[H])[N+]([O-])=O
2494,010021651.csv,010021651.pickle,010021651,C(=O)(C=1C=2C(C(C(C1Br)([H])[H])([H])[H])=C(C(=C(C2[H])[H])[H])[H])[H]
2496,020000360.csv,020000360.pickle,020000360,C=1(C(=C(C(=C(C1[H])C(=O)OC([H])([H])[H])[H])[H])[N+](=O)[O-])[H]
2497,010021895.csv,010021895.pickle,010021895,C1(=C(C(=C(C(=C1[H])[H])C(=C(C2=C(C(=C(C(=C2[H])[H])C(=C(C3=C(C(=C(C(=C3[H])[H])[H])[H])[H])[H])[H])[H])[H])C#N)[H])[H])[H])[H]
2498,010021909.csv,010021909.pickle,010021909,C1(=C(C(=C(C2=C1C(=C(N2[H])[H])C(C(N(C(=O)OC(C3(C4=C(C5=C3C(=C(C(=C5[H])[H])[H])[H])C(=C(C(=C4[H])[H])[H])[H])[H])([H])[H])[H])([H])[H])([H])[H])[H])[H])[H])[H]
2499,010021688.csv,010021688.pickle,010021688,C1(=C(C(=C(N2C1=C(C(=C2[H])C3=C(C(=C(C(=C3[H])[H])[H])[H])[H])[H])[H])[H])[H])[H]
2501,020097626.csv,020097626.pickle,020097626,C(C(OC(C(Cl)([H])[H])(OC(C([H])([H])[H])([H])[H])[H])([H])[H])([H])([H])[H]
2503,010021952.csv,010021952.pickle,010021952,C1(C(N(C(C2=C1C(=C(C(=C2[H])OC([H])([H])[H])OC([H])([H])[H])[H])(C(C3=C(C(=C(C(=C3[H])[H])OC([H])([H])[H])[H])[H])([H])[H])[H])C4(OC(C(C(C4(OC(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])[H])(OC(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])[H])(OC(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])[H])(C(OC(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H])[H])[H])([H])[H])([H])[H]
2504,020026304.csv,020026304.pickle,020026304,C(C(C(Br)([H])[H])(Br)[H])([H])([H])[H]
2506,020041083.csv,020041083.pickle,020041083,C1(=C(C(=C(C(=C1N([H])[H])Cl)[H])Cl)[H])Cl
2508,010024484.csv,010024484.pickle,010024484,C(Br)(C(=O)O[H])([H])[H]
2511,010018761.csv,010018761.pickle,010018761,C1(=C(C(=C(C2=C1N=NS2)[H])[H])[H])[H]
2515,020111997.csv,020111997.pickle,020111997,ClC1=C(N=C=O)C(=C(Cl)C(=C1[H])[H])[H]
2516,010027306.csv,010027306.pickle,010027306,C1(=C(C(=C(C(=C1[H])O[H])O[H])[H])C2=C(C3=C(C(=C(C4=C3C(=C2[H])C(=O)C(=C4[H])O[H])[H])[H])[H])[H])[H]
2520,010010849.csv,010010849.pickle,010010849,C1(=C(C(=C(C(=C(C(=C1[H])[H])[H])[H])[H])[H])[H])[H]
2528,020068932.csv,020068932.pickle,020068932,C1(=NC(=C(C2=C1C(C3=C2C(=C(N=C3[H])[H])[H])(O[H])C=4C(=C(C(=NC4[H])[H])[H])C5=C(C(=NC(=C5[H])[H])[H])[H])[H])[H])[H]
2537,020112701.csv,020112701.pickle,020112701,O=C([O-])C(C(=O)[O-])([H])[H]
2538,010021669.csv,010021669.pickle,010021669,C1(=C2C(=C(C(=C1[H])[H])[H])C(C(C(C2([H])[H])([H])[H])=C(O[H])[H])=O)[H]
2547,010021887.csv,010021887.pickle,010021887,C1(=C(C(=C(C(=C1[H])[H])OC(C2=C(C(=C(C(=C2[H])F)OC(C(C(C(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])=O)[H])[H])C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])=O
2549,010022302.csv,010022302.pickle,010022302,C=1(C(=C(C(=C(C1[H])OC([H])([H])[H])[H])OC([H])([H])[H])[H])I
2550,020097253.csv,020097253.pickle,020097253,C(C(C(C(C(C(C(C(C(C(C(C([N+]1=C(C(=C(C(=C1[H])[H])[H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H]
2553,020045229.csv,020045229.pickle,020045229,C(=O)(OC([H])([H])[H])C(C#N)([H])[H]
2556,010021873.csv,010021873.pickle,010021873,C1(=C(C(=C(C(=C1[H])[H])C(=O)N(C(C([H])([H])[H])(C([H])([H])[H])C(O[H])([H])[H])[H])[H])[H])[H]
2559,020000225.csv,020000225.pickle,020000225,C([Si](Cl)(Cl)Cl)([H])([H])[H]
2560,010021607.csv,010021607.pickle,010021607,C(C(C([H])([H])[H])(C([H])([H])[H])C1(C(C(C(Br)=C(C(=O)[H])C1([H])[H])([H])[H])([H])[H])[H])([H])([H])[H]
2561,020097931.csv,020097931.pickle,020097931,C1(=C(C(=C2C(=C3C4=C(C(=C(C(=C4C5=C(C(=C(C(=C5C3=C(C2=C1[H])[H])[H])[H])[H])[H])[H])[H])[H])[H])[H])[H])[H])[H]
2562,010021637.csv,010021637.pickle,010021637,C(#CC(=O)N1C(C(C(C1([H])[H])([H])[H])([H])[H])([H])[H])[H]
2565,020167801.csv,020167801.pickle,020167801,N=1C(=C(C2=C(C1N(C3=C(C(=C(C(=C3[H])[H])C([H])([H])[H])[H])[H])[H])N=C(C(=C2[H])[H])[H])[H])C(=O)OC(C([H])([H])[H])([H])[H]
2568,020097574.csv,020097574.pickle,020097574,C(C(C([H])([H])[H])(C(OC(=O)Cl)([H])[H])[H])([H])([H])[H]
2575,010022770.csv,010022770.pickle,010022770,C(C(C(C(C(C(C([H])([H])[H])(C([H])([H])[H])[H])([H])[H])([H])[H])([H])[H])(C(C(SC=1C(=C(Br)C(=C(C1Br)[H])[H])[H])([H])[H])([H])[H])[H])([H])([H])[H]
2579,020035487.csv,020035487.pickle,020035487,C=1(C(=C(C(=C(C1C([H])([H])[H])[H])[H])[H])[N+](=O)[O-])[H]
2581,020143943.csv,020143943.pickle,020143943,C1(=C(C(=C(C(=C1[H])[H])N(C([H])([H])[H])C(=O)C([H])([H])[H])[H])[H])[H]
2584,010021725.csv,010021725.pickle,010021725,C1(=C(C(=C(C(=C1[H])[H])C(=C(C2=C(C(=C(C(=C2[H])[H])N(C(C(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H])C(C(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H])[H])[H])[H])[H])[H])[H])Br
2591,010021767.csv,010021767.pickle,010021767,C1(=C(C(=C(C(=C1[H])[H])C(OC(=O)C(C(C(C(C(C(C(Br)([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])C(=C([H])[H])[H]
2593,010022047.csv,010022047.pickle,010022047,C1(=C(C(=C(C(=C1Br)[H])OC(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])C(OC([H])([H])[H])(OC([H])([H])[H])[H])[H])OC(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H]
2608,020068565.csv,020068565.pickle,020068565,C1(=C(C(=C(C2=C1N=C(S2)[H])[H])OC([H])([H])[H])[H])[H]
2616,010010851.csv,010010851.pickle,010010851,C1(=C(C(=C(C(=C1[H])C(C(C(C(C(C(C(C2=C(C(=C(C(=C2[H])[H])[H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])=O)([H])[H])([H])[H])[H])[H])[H])[H]
2624,020146944.csv,020146944.pickle,020146944,C1(=C(C(=C(C=2C1=C(C=3N(C(=C(C3[H])[H])[H])N2)[H])C(=O)OC(C([H])([H])[H])([H])[H])[H])C(=O)OC(C([H])([H])[H])([H])[H])[H]
2626,020170431.csv,020170431.pickle,020170431,C1(=C(C(=C(C(=C1[H])[H])[H])[H])C#CC(=C2C(C(C(=C2OS(=O)(=O)C(F)(F)F)[H])([H])[H])([H])[H])[H])C(O[H])(C#C[H])[H]
2627,010022068.csv,010022068.pickle,010022068,C1(=C(C(=C(N1[H])[H])C2=C(C(=C(C(=C2[H])OC(C(C([H])([H])[H])([H])[H])([H])[H])[H])[H])OC(C(C([H])([H])[H])([H])[H])([H])[H])C(=O)C3=C(C(=C(C(=C3[H])OC(C(C([H])([H])[H])([H])[H])([H])[H])[H])[H])OC(C(C([H])([H])[H])([H])[H])([H])[H])[H]
2628,000009751.csv,000009751.pickle,000009751,C1(=C(SC(=C1[H])C(C([H])([H])[H])=O)Cl)[H]
2630,020097219.csv,020097219.pickle,020097219,C(C(N([H])[H])(C(SSC(C(N([H])[H])(C(=O)O[H])[H])([H])[H])([H])[H])[H])(=O)O[H]
2637,010021870.csv,010021870.pickle,010021870,C1(C(C(C(C(C2=C(C1([H])[H])[N+](=N[Se]2)C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H]
2638,010021831.csv,010021831.pickle,010021831,C1(=C(C(=C(C2=C1OC(C(OC(C(OC(C(OC(C(O2)([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])C(=C(C3=C(C(=C(C(=C3[H])[H])C(=C(C4=C5C(=C(C(=C4[H])[H])[H])OC(C(OC(C(OC(C(OC(C(O5)([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])[H])[H])[H])[H])[H])[H])[H]
2642,020032381.csv,020032381.pickle,020032381,C1(=C(C(=C(C2=C1C(=C(C(=C2[H])[H])C(Br)([H])[H])[H])[H])[H])[H])[H]
2656,010021730.csv,010021730.pickle,010021730,C1(=C(C(=C(C(=C1[H])[H])C(=O)[H])[H])[H])N(C(C(O[H])([H])[H])([H])[H])C(C([H])([H])[H])([H])[H]
2658,010016726.csv,010016726.pickle,010016726,C(C(OC([H])([H])[H])(C([H])([H])[H])OC([H])([H])[H])([H])([H])[H]
2662,000089191.csv,000089191.pickle,000089191,C1(C(C(C(C(C1([H])[H])(C([H])([H])[H])[H])([H])[H])([H])[H])=O)=C2N(C(C(N2[H])([H])[H])([H])[H])[H]
2663,010021662.csv,010021662.pickle,010021662,C=1(OC(=C(C1[H])[H])[H])C(C(C(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])(O[H])[H]
2664,010016190.csv,010016190.pickle,010016190,C1(=C(C(=C(C2=C1C(OC2([H])[H])([H])[H])[H])[H])[H])[H]
2666,000002459.csv,000002459.pickle,000002459,C12(C(C(C(C1(C3(C(C(C(C2(C([H])([H])[H])[H])([H])O[H])([H])[H])(C3(C([H])([H])[H])C([H])([H])[H])[H])[H])[H])(C([H])([H])[H])[H])([H])[H])([H])[H])[H]
2668,020173100.csv,020173100.pickle,020173100,O1C(C(C(C1(C2=C(N(C3=C2C(=C(C(=C3[H])[H])[H])[H])C(OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])=O)[H])[H])=C([H])[H])([H])[H])([H])[H]
2669,020096875.csv,020096875.pickle,020096875,C(C(C(C([H])([H])[H])(C(C(C([H])([H])[H])(C([H])([H])[H])[H])([H])[H])[H])([H])[H])([H])([H])[H]
2671,020096914.csv,020096914.pickle,020096914,C1(=C(C(=C(C(=C1[H])N([H])[H])S(O[H])(=O)=O)[H])[H])[H]
2673,010008492.csv,010008492.pickle,010008492,C(Br)(C(=C(C(O[H])=O)[H])O[H])([H])[H]
2675,010018700.csv,010018700.pickle,010018700,C(C(=O)OC(C([H])([H])[H])(C([H])([H])[H])[H])(C=1C(=C(C(=C(C1[H])[H])Br)[H])[H])(C2=C(C(=C(C(=C2[H])[H])Br)[H])[H])O[H]
2676,020096450.csv,020096450.pickle,020096450,C(C(C([H])([H])[H])(C(C(C(=C([H])[H])C([H])([H])[H])([H])[H])([H])[H])[H])([H])([H])[H]
2680,020097218.csv,020097218.pickle,020097218,C(C(C([H])([H])[H])(C(C(OC(C(C(C([H])([H])[H])(C([H])([H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])([H])([H])[H]
2681,020096801.csv,020096801.pickle,020096801,C(C(C(C(C(C([H])([H])[H])([H])[H])(C(C([H])([H])[H])([H])[H])[H])([H])[H])([H])[H])([H])([H])[H]
2683,020096874.csv,020096874.pickle,020096874,C1(=C(C(=C(C(=C1[H])Cl)[H])Cl)[H])[H]
2690,020097577.csv,020097577.pickle,020097577,O=C(C(C([H])([H])[H])=C(C=1C(=C(C(=C(C1[H])[H])[H])[H])[H])[H])[H]
2692,020176198.csv,020176198.pickle,020176198,C1(C(C(=C(C(C1(OC(=O)C([H])([H])[H])[H])(I)[H])[H])C(=O)OC([H])([H])[H])([H])[H])(O[H])[H]
2693,020097940.csv,020097940.pickle,020097940,C1(=C(C(=C2C(=C3C(=C(C2=C1[H])[H])C4=C(C(=C(C(=C4O3)[H])[H])[H])[H])[H])[H])[H])[H]
2696,020170641.csv,020170641.pickle,020170641,O1C(OC2(C(OC(C(C2(OC([H])([H])[H])[H])(O[H])[H])(OC3(C(C4(C(C(C3([H])[H])([H])[H])(C5(C(C(C6(C(C5(C(C4([H])[H])([H])[H])[H])(O[H])C(C(C6(C7=C(C(OC7([H])[H])=O)[H])[H])(OC(C([H])([H])[H])=O)[H])([H])[H])C([H])([H])[H])([H])[H])([H])[H])[H])C([H])([H])[H])[H])([H])[H])[H])[H])(C([H])([H])[H])[H])[H])(C(C(C(C1(C(O[H])([H])[H])[H])(O[H])[H])(O[H])[H])(O[H])[H])[H]
2697,010021851.csv,010021851.pickle,010021851,C1(C(N(C(O1)=O)C(=O)C(C(C(C(C(N2C(C3=C(C2=O)C(=C(C(=C3[H])[H])[H])[H])=O)([H])[H])([H])[H])([H])[H])([H])[H])(C(O[H])(C4=C(C(=C(C(=C4[H])[H])OC(C5=C(C(=C(C(=C5[H])[H])[H])[H])[H])([H])[H])[H])[H])[H])[H])(C(C([H])([H])[H])(C([H])([H])[H])[H])[H])([H])[H]
2698,010021983.csv,010021983.pickle,010021983,C1(=C(C(=C(C(=C1[H])[H])N(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])[H]
2699,020096452.csv,020096452.pickle,020096452,C(=C(C(C(C(=C([H])[H])[H])([H])[H])([H])[H])[H])([H])[H]
2700,020096878.csv,020096878.pickle,020096878,ClC(C(C(C(C(Cl)([H])[H])([H])[H])([H])[H])([H])[H])([H])[H]
2705,000020334.csv,000020334.pickle,000020334,C=1(C(=C(C(=NC1C(=C(C=2C(=C(C(=C(C2[H])OC(C([H])([H])[H])=O)C(=C(C=3C(=C(C(=C(N3)[H])[H])[H])[H])[H])[H])[H])OC(=O)C([H])([H])[H])[H])[H])[H])[H])[H])[H]
2707,020054458.csv,020054458.pickle,020054458,C1(=C(C(=C(C2=C1N(C(C(C(N2S(C([H])([H])[H])(=O)=O)(C=3C(=C(C(=C(C3[H])[H])Br)[H])[H])[H])([H])[H])=O)[H])[H])[H])[H])[H]
2711,010016926.csv,010016926.pickle,010016926,N(C(C(C([H])([H])[H])(C([H])([H])[H])[H])([H])[H])(C(C(C([H])([H])[H])(C([H])([H])[H])[H])([H])[H])[H]
2717,020123180.csv,020123180.pickle,020123180,C1(=C(C(=C(C(=C1[N+](=O)[O-])O[H])[H])[H])[H])O[H]
2718,020168634.csv,020168634.pickle,020168634,O1C(C(C(OC1(C([H])([H])[H])[H])(N(C(N2C(C(OC(C2([H])[H])([H])[H])([H])[H])([H])[H])=S)[H])[H])([H])[H])(C([H])([H])[H])[H]
2727,020097638.csv,020097638.pickle,020097638,C(C(C([H])([H])[H])(C(=O)OC(C([H])([H])[H])(C([H])([H])[H])[H])[H])([H])([H])[H]
2729,010021968.csv,010021968.pickle,010021968,C1(=C(C(=C(C(=C1[H])[H])C(=O)[H])[H])[H])OC(C(C(C(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H]
2734,010024358.csv,010024358.pickle,010024358,C=1(C(=C(C(=C(C1[H])Br)[H])[H])[H])Cl
2736,020051740.csv,020051740.pickle,020051740,C1(=C(C(=C(O1)[H])[H])C(=O)OC(C([H])([H])[H])([H])[H])[H]
2738,020097203.csv,020097203.pickle,020097203,C(C(=O)O[H])(N(C(=O)N([H])[H])[H])([H])[H]
2739,010021667.csv,010021667.pickle,010021667,C1(=C(C(=C(C(=C1[H])OC(C(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])C(=C(C2=C(C(=C(C(=C2[H])[H])C(=C(C3=C(C(=C(C(=C3[H])OC(C(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])OC(C(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])C#N)[H])[H])C#N)[H])[H])OC(C(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H]
2740,010021846.csv,010021846.pickle,010021846,C1(=C(C(=C(C(=C1[H])[H])C(=C(C(=O)N(C2=C(C(=C(C(=C2[H])[H])O[H])[H])[H])[H])[H])[H])[H])[H])[H]
2742,010022779.csv,010022779.pickle,010022779,N#CC(C(C(C([H])([H])[H])([H])[H])(C([H])([H])[H])C([H])([H])[H])(C(=O)C([H])([H])[H])[H]
2743,010022724.csv,010022724.pickle,010022724,C1(=C(C(=C(C(=C1S(=O)(=O)N2C(C([H])([H])[H])=C(C([H])([H])[H])C3=C2C(=C(C(OC([H])([H])[H])=C3[H])[H])[H])[H])[H])[H])[H])[H]
2748,010022374.csv,010022374.pickle,010022374,C1(N(C(C2(N(C1([H])[H])OC3(C2(C(OC3([H])[H])=O)[H])[H])[H])=O)C(C(=O)OC([H])([H])[H])([H])[H])([H])[H]
2752,010021791.csv,010021791.pickle,010021791,C1(OC1(C(Cl)([H])[H])[H])([H])[H]
2756,010022063.csv,010022063.pickle,010022063,C=1(C(=C(C(=C(C1OC(C(C([H])([H])[H])([H])[H])([H])[H])[H])C(=O)[H])OC(C(C([H])([H])[H])([H])[H])([H])[H])[H])C(=O)[H]
2757,020097555.csv,020097555.pickle,020097555,C(C1=C(C(=C(C(=C1OC(C([H])([H])[H])=O)[H])[H])[H])[H])([H])([H])[H]
2761,020143922.csv,020143922.pickle,020143922,C1(=C(C(=C(C(=C1N(C(C(C([H])([H])[H])([H])[H])([H])[H])[H])[H])[H])[H])[H])[H]
2765,000019872.csv,000019872.pickle,000019872,C(S(=O)C(SC([H])([H])[H])([H])[H])([H])([H])[H]
2770,020025915.csv,020025915.pickle,020025915,C1(N2C(N(C(=C1[N+](=O)[O-])C([H])([H])[H])C([H])([H])[H])=NC(=N2)[H])=O
2774,010021624.csv,010021624.pickle,010021624,C(C(C([H])([H])[H])(C([H])([H])[H])OC(=O)C(C(=C([H])[H])[H])([H])[H])([H])([H])[H]
2775,010021989.csv,010021989.pickle,010021989,C1(=C(C(=C(C(=C1[H])[H])C(=C(C2=C(C(=C(C(=C2[H])[H])C(=C(C3=C(C(=C(C(=C3[H])[H])C(=C(C4=C(C(=C(C(=C4[H])[H])N(C(C(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H])C(C(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H])[H])[H])[H])[H])[H])[H])[H])[H])[H])[H])[H])[H])[H])[H])[N+]([O-])=O
2778,020097593.csv,020097593.pickle,020097593,C1(=C(C=2C(=C(C(=C3C2C(=C1[H])C(=O)OC3=O)[H])[H])[H])[H])[H]
2779,020044488.csv,020044488.pickle,020044488,C1(=C(C(=C(C(=C1C(O[H])=O)I)I)[H])I)[H]
2786,010021805.csv,010021805.pickle,010021805,C1(=C(C(=C(C(=C1[H])C(=O)N(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])C(=O)N(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])N(C(=O)C(S[H])([H])[H])[H]
2793,010021617.csv,010021617.pickle,010021617,C(C(Br)(C(=O)OC(C(OC(=O)C(C([H])([H])[H])=C([H])[H])([H])[H])([H])[H])[H])([H])([H])[H]
2795,010010846.csv,010010846.pickle,010010846,C1(C(C(C(C(C(C(C(C(C1([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H]
2797,020111982.csv,020111982.pickle,020111982,O(C(=O)C(C(C([H])([H])[H])(C(O[H])=O)[H])(C([H])([H])[H])[H])[H]
2801,020111949.csv,020111949.pickle,020111949,O=C=NC(C([H])([H])[H])(C([H])([H])[H])[H]
2804,020044933.csv,020044933.pickle,020044933,C(C#N)(C(OC(C([H])([H])[H])([H])[H])([H])[H])([H])[H]
